Customer_ID,Age,Gender,City,Monthly_Spend,Orders,Rating
101,21,Male,Hyderabad,1200,5,4.2
102,22,Female,Vijayawada,1500,6,4.5
103,23,Male,Guntur,,7,4.1
104,22,Female,Chennai,1800,8,4.7
105,24,Male,Bangalore,2200,10,4.8
106,25,Female,Hyderabad,2500,12,
107,23,Male,Vijayawada,3000,14,4.4
108,21,Female,Guntur,1100,5,3.8
109,26,Male,Chennai,45000,90,5.0
110,22,Female,Bangalore,1700,8,4.0
111,24,Male,Hyderabad,1900,9,4.2
112,23,Female,Vijayawada,,6,4.3
113,25,Male,Guntur,2600,11,4.6
114,24,Female,Chennai,2400,10,4.5
115,22,Male,Bangalore,1800,7,4.0
116,23,Female,Hyderabad,1600,6,4.1
117,24,Male,Vijayawada,2800,13,4.7
118,25,Female,Guntur,2700,12,4.6
119,23,Male,Chennai,2100,8,4.2
120,22,Female,Bangalore,1700,8,4.0
120,22,Female,Bangalore,1700,8,4.0
