Student_ID,Study_Hours,Attendance,Assignments,Previous_Marks,Result
1,5,80,8,65,Pass
2,2,50,3,40,Fail
3,6,85,9,70,Pass
4,1,40,2,35,Fail
5,7,90,10,80,Pass
6,3,60,5,50,Fail
7,8,95,10,85,Pass
8,2,55,4,45,Fail
9,6,88,9,75,Pass
10,1,35,1,30,Fail
11,7,92,10,82,Pass
12,4,70,6,55,Pass
13,3,58,5,48,Fail
14,8,96,10,88,Pass
15,2,45,3,38,Fail
16,5,78,8,67,Pass
17,6,84,9,72,Pass
18,3,60,4,49,Fail
19,7,91,10,83,Pass
20,1,30,1,25,Fail
21,4,72,6,58,Pass
22,5,75,7,62,Pass
23,2,48,3,42,Fail
24,8,98,10,90,Pass
25,3,55,4,47,Fail
26,6,86,8,74,Pass
27,7,89,9,79,Pass
28,1,38,2,32,Fail
29,5,77,7,64,Pass
30,2,52,3,43,Fail
31,9,99,10,95,Pass
32,4,68,5,57,Pass
33,3,62,4,51,Fail
34,7,93,10,84,Pass
35,2,44,2,36,Fail
36,6,82,8,71,Pass
37,8,97,10,89,Pass
38,3,57,5,46,Fail
39,5,79,7,66,Pass
40,1,33,1,28,Fail
41,6,85,9,73,Pass
42,2,49,3,41,Fail
43,7,90,10,81,Pass
44,4,71,6,56,Pass
45,3,54,4,44,Fail
46,8,96,10,87,Pass
47,5,76,7,63,Pass
48,2,46,2,37,Fail
49,6,83,8,69,Pass
50,9,100,10,98,Pass
