Order_ID,Product,Category,Price,Quantity,Discount,Sales
1001,Laptop,Electronics,50000,1,5,47500
1002,Mouse,Electronics,500,3,10,1350
1003,Keyboard,Electronics,1200,2,5,2280
1004,Shirt,Fashion,1500,4,15,5100
1005,Shoes,Fashion,2500,2,10,4500
1006,Rice,Grocery,800,5,0,4000
1007,Oil,Grocery,1200,3,5,3420
1008,Mobile,Electronics,20000,1,8,18400
1009,T-Shirt,Fashion,1000,5,20,4000
1010,Biscuits,Grocery,200,10,0,2000
1011,Laptop,Electronics,55000,1,5,52250
1012,Shoes,Fashion,3000,2,10,5400
1013,Mobile,Electronics,18000,1,5,17100
1014,Rice,Grocery,900,6,0,5400
1015,Keyboard,Electronics,1500,2,10,2700
1016,Shirt,Fashion,1800,3,15,4590
1017,Oil,Grocery,1300,4,5,4940
1018,T-Shirt,Fashion,1200,4,20,3840
1019,Mouse,Electronics,600,5,10,2700
1020,Biscuits,Grocery,250,12,0,3000
